Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,31,1,Apr 1,CHC,,PIT,"L,3-5",9-GF,,99,1,0,0,0,0,1,0,0,0,3,17,10,5,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.26,0.02,0.27,0.01%,0.54,4.25,6,9t --- 0 out d2,9t end d 2
2,32,4,Apr 5,CHC,,MIL,"W,5-3",9-GF,S(1),3,1,0,0,0,0,1,0,0,0,3,14,9,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.02,0.08,1.18,0.06%,0.54,4.25,6,9t --- 0 out a2,9t end a 2
3,33,6,Apr 7,CHC,,MIL,"L,2-4",8-Jul,,1,1.1,1,1,1,0,0,1,0,2.7,5,22,12,3,2,4,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.23,-0.148,1.35,-0.10%,-0.3,0.4,1,7t --- 0 out tie,8t --- 1 out d1
4,34,8,Apr 10,CHC,@,PIT,"L,2-8",4-Feb,,2,2.1,1,0,0,2,1,0,1,1.59,10,40,20,5,3,3,3,1,0,0,,1,0,0,0,0,7,0,0,0,1,0,0,0.15,0.019,0.17,0.01%,1.34,4.85,10,2b -2- 2 out d6,4b 3 out d6
5,35,11,Apr 13,CHC,@,MIL,"W,3-2",GS-4,,2,4,2,2,2,0,0,1,1,2.79,15,41,25,7,0,9,5,4,0,0,50,,,0,0,0,14,0,0,0,0,0,0,0.78,-0.033,0.76,-0.02%,0.02,3.2,6,1b start tie,4b 3 out d1
6,36,15,Apr 18,CHC,,ATL,"L,4-13",6-May,,4,1,5,3,3,1,1,0,0,5.06,9,33,19,4,1,2,5,4,1,0,,0,0,0,0,0,8,2,0,1,0,0,0,0.44,-0.037,0.38,-0.02%,-2,-5.35,-3,5t --- 0 out d4,6t -23 0 out d5
7,37,17,Apr 21,CHC,,NYM,"W,16-4",8-Jun,W(1-0),2,3,1,0,0,0,2,0,0,3.95,9,27,17,6,2,4,3,0,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,0.06,0.012,0.05,0.01%,1.43,14.15,27,6t --- 0 out a6,8t 3 out a10
8,38,21,Apr 25,CHC,,MIL,"L,0-6",8-Jul,,3,2,2,0,0,0,0,0,0,3.45,8,34,22,5,1,6,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,1.08,0.101,1.21,0.07%,0.95,3.3,6,7t --- 0 out d1,8t 3 out d1
9,39,24,Apr 28,CHC,@,ATL,"L,0-10",6-Apr,,2,2.1,5,3,3,1,2,2,0,4.5,13,57,40,11,6,5,5,2,0,0,,2,0,0,0,0,12,2,0,0,0,0,0,0.04,-0.004,0.03,0.00%,-1.42,-0.35,4,4b 12- 2 out d7,6b 3 out d10
10,40,28,May 2,CHC,@,CIN,"L,12-13",6-Jun,,3,1,3,3,3,0,2,0,2,5.68,8,25,18,3,3,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.31,-0.309,1.98,-0.16%,-2.46,-2.75,0,6b --- 0 out tie,6b 3 out d3
11,41,31,May 5,CHC,,LAD,"W,6-5",10-GF(11),W(2-0),2,2,3,2,0,2,1,0,0,5.14,10,32,17,5,1,4,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,4.02,-0.13,3.57,-0.07%,0.18,7.5,21,10t -2- 0 out tie,11t end d 1
12,42,38,May 15,CHC,@,DET,"L,8-9",4-Mar,,9,1.2,2,3,3,2,2,0,0,5.96,9,39,21,8,4,2,3,0,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.63,-0.19,1.53,-0.11%,-1.33,-0.65,2,3b --- 0 out a1,4b -2- 2 out d1
13,43,61,Jun 8,CHC,@,SDP,"W,7-1",9-GF,,23,1,1,1,1,2,2,0,0,6.08,6,24,12,6,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.11,0.001,0.15,0.00%,-0.55,2.45,6,9b --- 0 out a7,9b end a 6
14,44,67,Jun 15,CHC,@,NYM,"L,2-3",GS-5,L(2-1),6,4.1,5,3,3,2,6,0,0,6.11,19,57,39,12,6,5,6,5,1,0,45,,,0,0,0,17,1,0,0,1,0,0,1.09,-0.032,1.54,-0.03%,-0.13,11.55,22,1b start tie,5b 1-- 1 out tie
15,45,72,Jun 20,CHC,,MIA,"W,2-0",GS-5,W(3-1),4,5,6,0,0,0,3,0,0,5.18,21,77,49,14,5,13,5,2,0,0,58,,,0,0,0,21,0,0,0,0,0,0,0.95,0.281,1.36,0.24%,2.39,17.65,36,1t start tie,5t 3 out a1
16,46,77,Jun 26,CHC,@,LAD,"L,2-3",GS-4,,5,4,8,2,2,2,2,0,0,5.11,19,69,41,16,2,9,6,4,0,0,38,,,0,1,0,17,3,0,0,1,0,0,0.93,-0.05,1.39,-0.05%,-0.11,3,12,1b start tie,4b 3 out d1
17,47,82,Jul 2,CHC,@,CIN,"L,1-2",GS-6,L(3-2),5,5.2,2,2,2,1,9,0,1,4.85,21,92,64,25,9,7,3,0,1,0,65,,,0,0,0,19,0,0,0,0,0,0,1.01,0.322,1.19,0.23%,2.89,24.35,38,1b start tie,6b 12- 2 out a1
,,,,,,,11-Jun,,"W-L:3-2,Sv:1",3.5,42.2,47,25,23,15,35,4,5,4.85,188,700,62%,20%,7%,1.46,,20%,3%,0,51,3,0%,1,1,0,167,10,0,1,5,0,1,1.02,-0.097,1.14,0.08%,2,91.8,200,,