Split,G,IP,ER,ERA,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st inning,5,5,2,3.6,19,18,2,4,2,0,0,0,0,1,3,3,0.222,0.263,0.333,0.596,6,1,0,0,0,0,0,0.267,54,57
2nd inning,6,5.1,2,3.38,22,19,2,4,1,0,1,0,1,1,6,6,0.211,0.318,0.421,0.739,8,0,2,0,0,0,0,0.25,91,111
3rd inning,7,7,2,2.57,31,27,2,6,1,0,0,0,0,4,7,1.75,0.222,0.323,0.259,0.582,7,0,0,0,0,0,0,0.3,53,66
4th inning,8,7,3,3.86,30,27,2,9,0,0,0,1,0,2,3,1.5,0.333,0.4,0.333,0.733,9,2,1,0,0,0,0,0.375,92,110
5th inning,5,4.1,2,4.15,20,19,1,6,2,0,0,0,0,1,5,5,0.316,0.35,0.421,0.771,8,0,0,0,0,1,0,0.429,100,113
6th inning,5,3.2,10,24.55,25,21,6,10,2,0,2,0,0,2,6,3,0.476,0.56,0.857,1.417,18,0,2,0,0,0,0,0.615,264,288
7th inning,3,3,0,0,10,9,0,1,0,0,0,0,0,0,0,,0.111,0.111,0.111,0.222,1,1,0,1,0,0,1,0.111,-42,-36
8th inning,3,2.1,1,3.86,9,9,1,3,0,0,1,0,0,0,0,,0.333,0.333,0.667,1,6,1,0,0,0,0,0,0.25,155,175
9th inning,3,3,1,3,12,10,1,1,1,0,0,0,0,2,4,2,0.1,0.25,0.2,0.45,2,0,0,0,0,0,0,0.167,18,37
Ext inning,1,2,0,0,10,8,2,3,1,0,0,0,0,2,1,0.5,0.375,0.5,0.5,1,4,0,0,0,0,0,0,0.429,161,155
Innings 1-3,7,17.1,6,3.12,72,64,6,14,4,0,1,0,1,6,16,2.67,0.219,0.306,0.328,0.634,21,1,2,0,0,0,0,0.277,65,76
Innings 4-6,11,15,15,9,75,67,9,25,4,0,2,1,0,5,14,2.8,0.373,0.44,0.522,0.962,35,2,3,0,0,1,0,0.451,149,168
Innings 7-9,6,8.1,2,2.16,31,28,2,5,1,0,1,0,0,2,4,2,0.179,0.233,0.321,0.555,9,2,0,1,0,0,1,0.174,43,59